序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人适用时间段,高精质适用时间段,未孕女性适用时间段,"备孕女性
适用时间段","待产女性
适用时间段","产后女性
适用时间段","已育女性
适用时间段"
72,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,赏画,培兴趣，使充实，消抑郁，愉身心。,\t赏画除了能开阔心胸和眼界、调节心情、减少烦躁和焦虑外，还可通过欣赏绘画作品的特点和画技，增强老人大脑的活跃度，起到一定预防痴呆的作用。,/photo/huazhan.jpg,休闲4,,,,,,
73,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,练书法,培兴趣，使充实，消抑郁，愉身心。,\t练习书法过程中，陶冶性情的同时还能锻炼身体。当完成一幅满意的作品，会产生一种成功喜悦之感，有益身心健康。,/photo/lianshufa.jpg,休闲3,,,,,,
74,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,绘画,培兴趣，使充实，消抑郁，愉身心。,\t书画是一种高尚的爱好和兴趣，它们都有着形象美、情境美和笔端墨趣，可供欣赏和享受。它可以陶冶人的感情，可以使人的业余时间、老年生活更允实，更有意义。,/photo/huihua.jpg,休闲2,,,,,,
75,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,插花,培兴趣，使充实，消抑郁，愉身心。,\t插花是一种很好的修身养性之道，插花时讲究心平气和，神态专注，举止文明、优雅， 提高精神文化素质和艺术修养、陶冶情操的同时，还可美化生活，增加情趣。,/photo/chahua.jpg,休闲1,,,,,,
76,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,涂鸦,培兴趣，使充实，消抑郁，愉身心。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,休闲3,,,,,,
77,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,摄影,培兴趣，使充实，消抑郁，愉身心。,\t摄影一种最放松的全身运动，既锻炼了身体又培养了兴趣，让你对外面的世界充满好奇，保持旺盛的生命力。,/photo/shexiangji.jpg,休闲1,,,,,,
78,,精神,空虚感,\t出去走走看看，在欣赏大自然的美景的同时，用相机记录下来，不仅陶冶情操，愉悦心情，更重要的是从中开阔了视野和锻炼了身体，得到艺术和健康双丰收。,郊游,出门游，赏美景，身健康，心愉悦。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能更加心胸阔，舒畅坦荡，身体健康，延年益寿。,/photo/jiaoyou.jpg,休闲1,,,,,,
79,,精神,空虚感,\t约上有几个知心朋友，大家聚一聚，一壶清茶、一杯咖啡，谈谈自己的最近生活和变化。,会旧友,会旧友，谈变化，心减负，得感悟。,\t和旧友会面，聊聊天，说说各自的变化，给心灵来个“减负”，有时还会从交流中得到不少人生感悟。,/photo/huijiuyou.jpg,休闲2,,,,,,
80,,精神,空虚感,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,读书,常读书，获知识，增情趣，愉身心。,\t读书是填补空虚的良方。读书能使人找到解决问题的钥匙，使人从寂寞与空虚中解脱出来。读书越多，知识越丰富，生活也就越充实。,/photo/kanshu1.jpg,休闲4,,,,,,
81,,精神,空虚感,\t在小院子中种植自己喜爱的瓜果蔬菜、花草树木或养些鸡鸭等，通过挖土、施肥、种植这类“中等强度”运动，不仅使全身肌肉在自然的环境中得到锻炼，而且使身心愉悦，重燃对生活的热情和信心。,养花草,种瓜果，养花草，轻锻炼，心愉悦。,\t花草是一种恬静、美好的生命，而且能净化空气，杀灭细菌，在养殖的过程中， 我们需要定期给他们浇浇水、剪剪枝、换换土，对老年人来说就是一套“韵律操”，对身心都有益。,/photo/yanghuacao.jpg,休闲1,,,,,,
82,,精神,空虚感,\t在小院子中种植自己喜爱的瓜果蔬菜、花草树木或养些鸡鸭等，通过挖土、施肥、种植这类“中等强度”运动，不仅使全身肌肉在自然的环境中得到锻炼，而且使身心愉悦，重燃对生活的热情和信心。, 做园艺,种瓜果，养花草，轻锻炼，心愉悦。,\t在安逸的花园中走动，可感受新鲜空气、温暖阳光，既能锻炼身体，预防骨质疏松、老年痴呆、糖尿病等疾病，还能调节情志，延年益寿。,/photo/yuanyi.jpg,休闲2,,,,,,
83,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,养花草,多参与，有趣事，乐享受，消抑郁。,\t当感到焦虑不安时，可以放下手头的工作和事情，给花草浇浇水、施施肥、剪剪枝，泥土的芬芳和花草的清香能缓解紧张和压力。,/photo/yanghuacao.jpg,休闲2,,,,,,
84,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,钓鱼,多参与，有趣事，乐享受，消抑郁。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,休闲2,,,,,,
85,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,绘画,多参与，有趣事，乐享受，消抑郁。,\t研究表明，人在绘画时心跳、血压、呼吸等生理活动降低，心理得到净化，负性情绪得以改善。,/photo/huihua.jpg,休闲3,,,,,,
86,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,下棋,多参与，有趣事，乐享受，消抑郁。,\t下棋是一种静中有动、外静内动的活动，需要凝神静气、全神贯注，神凝则心气平静，专注则杂念全消。,/photo/xiaqi.jpg,休闲2,,,,,,
87,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,跳舞,多参与，有趣事，乐享受，消抑郁。,\t跳舞时能量消耗至少为人处于安静状态下的3-4倍，轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu1.jpg,休闲3,,,,,,
88,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,看电影,多参与，有趣事，乐享受，消抑郁。,\t电影情节能牵动人的情绪，其中的情节可令人产生共鸣，甚至能帮助人解开心中的郁结，释放心中的负面情绪。,/photo/kandianying1.jpg,休闲3,,,,,,
89,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,欣赏书画,多参与，有趣事，乐享受，消抑郁。,"\t书画可以赏心悦目,给人以美的享受，令人在其中，心境也会随之得到一种超然与净化，使心情舒畅，达到养生的效果。",/photo/shuhua.jpg,休闲4,,,,,,
90,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,唱歌,多参与，有趣事，乐享受，消抑郁。,\t唱歌时，隔阂膜的活动可以调节空气的吸入和呼出量。心情焦虑、不安时，大声唱完一首歌，心情会得到平复，负性情绪也能得到释放。,/photo/changge.jpg,休闲2,,,,,,
91,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,涂鸦,多参与，有趣事，乐享受，消抑郁。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,休闲3,,,,,,
92,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,阅读,多参与，有趣事，乐享受，消抑郁。,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu1.jpg,休闲1,,,,,,
93,,精神,焦虑感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,檀香,点香薰，活气血，减焦虑，缓压力。,\t提神醒脑，镇静安抚神经紧张及焦虑，有助于思考决策，余香醇醇。,/photo/tanxiang.jpeg,休闲4,,,,,,
94,,精神,焦虑感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,薰衣草,点香薰，活气血，减焦虑，缓压力。,\t净化，安抚心灵、使人镇静，帮助睡眠，治疗失眠。,/photo/xunyicao.jpeg,休闲4,,,,,,
95,,精神,焦虑感,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,开怀大笑,开怀笑，胸扩张，促循环，消紧张。,\t笑的过程中，人的胸肌得到扩张，胸部运动加强，呼吸均匀，有利于从呼吸道排泄废物，加快血液循环，自主神经功能得到调节，有助于驱散焦虑、紧张、忧愁等不良情绪。,/photo/daxiao.jpg,休闲2,,,,,,
96,,精神,抑郁感,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,开怀大笑,开怀笑，胸扩张，促循环，消抑郁。,\t笑的过程中，人的胸肌得到扩张，胸部运动加强，呼吸均匀，有利于从呼吸道排泄废物，加快血液循环，自主神经功能得到调节，有助于驱散焦虑、紧张、忧愁等不良情绪。,/photo/daxiao.jpg,休闲1,,,,,,
97,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,涂鸦,培兴趣，陶怡情，消抑郁，心愉悦。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,休闲3,,,,,,
98,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,唱歌,培兴趣，陶怡情，消抑郁，心愉悦。,\t唱歌时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge.jpg,休闲2,,,,,,
99,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,跳舞,培兴趣，陶怡情，消抑郁，心愉悦。,\t科学家发现，有氧舞蹈是摆脱沮丧情绪或其他负面情绪的最佳方式之一。人在沮丧时生理处于低活动状态，有氧舞蹈则可提升身体的活动量，打破沮丧或抑郁的循环，使身心重新处于协调的状态。,/photo/tiaowu11.jpg,休闲3,,,,,,
100,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,练书法,培兴趣，陶怡情，消抑郁，心愉悦。,\t书法练习可降低心率和血压活动水平，缓解焦虑和烦躁情绪，使人获得安宁、平静的情绪。研究表明，练书法可改善人们对自我控制的信心，促进无助和抑郁情绪的转变。,/photo/lainshufa.jpg,休闲4,,,,,,
